Title,View,View1,shortprofile,shortprofile2
No effort,State Bank of India Credit Card,I didn't have to take any effort for my SBI card. I just called the agent of SBI home and he run through all the formalities.,"Meena
Posted on: Jul 28, 2019",Meena
Initial credit limit,State Bank of India Credit Card,"My initial credit limit was 50k back when I was 22 and I got this card. Now, 4 years have passed and my credit limit has been increased by SBI.","Arjun
Posted on: Jul 28, 2019",Arjun
SBI Simply Save Card,State Bank of India Credit Card,I got my SBI Simply Save Card for free since I am a long term loyal customer of SBI.,"Anubha
Posted on: Jul 28, 2019",Anubha
Card from SBI,State Bank of India Credit Card,This card from SBI is a good benefit card where I tend to save a lot in the form of rewards and cashbacks.,"Kanu
Posted on: Jul 28, 2019",Kanu
Reward points,State Bank of India Credit Card,I got 4 reward points for every 100 INR that I spent on paying for my dining bill with SBI.,"Manisha
Posted on: Jul 28, 2019",Manisha
SBI Simply Save card,State Bank of India Credit Card,"It has been 2 years that I am using this SBI Simply Save card, it is a perfect card with good benefits and rewards.","Soham
Posted on: Jul 28, 2019",Soham
Water and electricity bill,State Bank of India Credit Card,I just paid my water and electricity bill using the easy bill pay facility of SBI.,"Vivek
Posted on: Jul 28, 2019",Vivek
Online shopping,State Bank of India Credit Card,The online shopping of 2000 brought me a saving of 200 INR with this card.,"Shaheer
Posted on: Jul 28, 2019",Shaheer
Home theatre,State Bank of India Credit Card,Just got a new home theatre for my home using the SBI card. It is amazing that I could get it on EMI with this card.,"Hunnar
Posted on: Jul 28, 2019",Hunnar
Applied for a loan,State Bank of India Credit Card,"I applied for a loan with my SBI card, It has been a big help.","Anshuman
Posted on: Jul 28, 2019",Anshuman
Credit score,State Bank of India Credit Card,"With a credit score of 693, I got could get this card with ease.","Kartikay
Posted on: Jul 28, 2019",Kartikay
I got a cashback,State Bank of India Credit Card,I got a cashback of INR 100 when I made my first withdrawal with SBI.,"Ambika
Posted on: Jul 28, 2019",Ambika
Spend with my card,State Bank of India Credit Card,"On every INR 100 that I spend with my card on items pertaining to dining, movie and shopping, I get 10 reward points.","Seema
Posted on: Jul 28, 2019",Seema
Dining bill,State Bank of India Credit Card,I just went out with my family and paid for the dining bill with this card. Received good rewards.,"Daina
Posted on: Jul 28, 2019",Daina
Good value card,State Bank of India Credit Card,This is a good value card wherein I save so much on movie bookings.,"Gaurav
Posted on: Jul 28, 2019",Gaurav
I am happy and satiated,State Bank of India Credit Card,"I am happy and satiated that I saved a good degree in the form of rewards, cashbacks and benefits with this card.","Harshdeep
Posted on: Jul 28, 2019",Harshdeep
Easy bill pay facility,State Bank of India Credit Card,"Using the easy bill pay facility of my SBI card, I got pay for my electricity bill with ease.","Amritesh
Posted on: Jul 28, 2019",Amritesh
SBI card online,State Bank of India Credit Card,I applied for the SBI card online and it was easy for me to get this card.,"Shaina
Posted on: Jul 28, 2019",Shaina
Team and the agents,State Bank of India Credit Card,The team and the agents of SBI were really helpful with the documentation process of the SBI card.,"Mrityunjay
Posted on: Jul 28, 2019",Mrityunjay
Using this SBI card,State Bank of India Credit Card,I am using this SBI card since I got it free for lifetime from the SBI team.,"Manish
Posted on: Jul 28, 2019",Manish
Fine rewards,State Bank of India Credit Card,Super happy with the fine rewards that are coming my way with this SBI card.,"Vanya
Posted on: Jul 28, 2019",Vanya
Flexi pay scheme of my SBI,State Bank of India Credit Card,The flexi pay scheme of my SBI card is amazing. It helps me make purchases of the bigger value items.,"Vibha
Posted on: Jul 28, 2019",Vibha
Using this card,State Bank of India Credit Card,I am using this card since past 3 years and the offers are great.,"Umang
Posted on: Jul 28, 2019",Umang
Usability of this card,State Bank of India Credit Card,I like the fine usability of this card. It brings offers and rewards everywhere.,"Urvashi
Posted on: Jul 28, 2019",Urvashi
Impressed,State Bank of India Credit Card,I cannot tell you how impressed I am with the ease that this card has brought for me. It is a good value card.,"Anu
Posted on: Jul 28, 2019",Anu
Perfect benefit card,State Bank of India Credit Card,I like how this is the perfect benefit card which has brought in good deal of rewards and cashbacks.,"Yamini
Posted on: Jul 28, 2019",Yamini
Perfect shopping card,State Bank of India Credit Card,"I genuinely feel I have found the perfect shopping card. On this card, every time, I spend an amount, I save!","Prakhar
Posted on: Jul 28, 2019",Prakhar
I was in Paris,State Bank of India Credit Card,"While I was in Paris, I paid for everything with my SBI card and then when it was the day to clear off the bill, I paid the minimum dues and the balance was converted by me for EMI.","Anwesha
Posted on: Jul 28, 2019",Anwesha
Low cost credit card,State Bank of India Credit Card,It is a low cost credit card wherein the interest cost is pretty decent.,"Nivedita
Posted on: Jul 28, 2019",Nivedita
Reasonable rate,State Bank of India Credit Card,I pay only a reasonable rate of interest on this card. It is perfect.,"Martha
Posted on: Jul 28, 2019",Martha
Traveling to Dubai,State Bank of India Credit Card,"I was traveling to Dubai with my family. So, I made all the hotel and travel bookings with my card.","Divya
Posted on: Jul 28, 2019",Divya
Documentation process,State Bank of India Credit Card,"The documentation process was easy. I applied for my card online and then I got a call for eligibility check and then with no hassle, this card came to me.","Drishti
Posted on: Jul 28, 2019",Drishti
Complete card,State Bank of India Credit Card,Don't feel I could have got a better and a more complete card with SBI. It is good.,"Kamna
Posted on: Jul 28, 2019",Kamna
Simply Save card,State Bank of India Credit Card,It has been 8 months since I am using this Simply Save card. It truly stands by its name and actually helps me save a lot.,"Samdeesha
Posted on: Jul 28, 2019",Samdeesha
Rewards accrued,State Bank of India Credit Card,Used the rewards accrued on my SBI card for getting a credit for my outstanding bill.,"Mukti
Posted on: Jul 28, 2019",Mukti
Reward rate,State Bank of India Credit Card,"On this SBI card, the reward rate is pretty decent given the low cost of the card.","Martha
Posted on: Jul 28, 2019",Martha
Good deal of benefit,State Bank of India Credit Card,"Other than few spending, on most spending SBI grants me 1 RP per 100 INR spent which is also a good deal of benefit.","Gauravi
Posted on: Jul 28, 2019",Gauravi
SBI card,State Bank of India Credit Card,Used my SBI card for making some grocery purchases for the home. Got 10 reward points for every INR 100 spent.,"Sarika
Posted on: Jul 28, 2019",Sarika
BOGO offer,State Bank of India Credit Card,I just used the BOGO offer on movie tickets with my SBI card and saved good.,"Bhavna
Posted on: Jul 28, 2019",Bhavna
Dning offers to grocery shopping,State Bank of India Credit Card,"From dining offers to grocery shopping, this card is simply the best!","Dishant
Posted on: Jul 28, 2019",Dishant
Credit card,State Bank of India Credit Card,I could not believe that using a credit card would add so much savings on every day expense till I switched to this card.,"Kamal
Posted on: Jul 28, 2019",Kamal
Savings,State Bank of India Credit Card,"The savings that this card has brought for me are amazing,","Sonya
Posted on: Jul 28, 2019",Sonya
Cash loan,State Bank of India Credit Card,I got a cash loan up to the value of 80% of my credit limit. Amazing help!,"Kashif
Posted on: Jul 28, 2019",Kashif
SBI credit card,State Bank of India Credit Card,Used my SBI credit card for getting a cash loan. So easy.,"Shibani
Posted on: Jul 28, 2019",Shibani
Using my SBI card,State Bank of India Credit Card,It has been 2 weeks since I am using my SBI card. I just made a withdrawal and SBI gave me a cashback of INR 100.,"Uttam
Posted on: Jul 28, 2019",Uttam
Benefits on my SBI,State Bank of India Credit Card,Like how the benefits on my SBI card are so humongous. It is a good advantage card,"Bhanu
Posted on: Jul 28, 2019",Bhanu
Complete card,State Bank of India Credit Card,I have never seen a more complete card in terms of benefits and reward points.,"Kartik
Posted on: Jul 28, 2019",Kartik
SBI,State Bank of India Credit Card,I am using this card from SBI for 3 years now. Enjoying good amount of benefits.,"Sumit
Posted on: Jul 28, 2019",Sumit
No better replacement,State Bank of India Credit Card,I just don't think there could have been a better replacement for my SBI card. It is a good value card with amazing benefits.,"Nishant
Posted on: Jul 28, 2019",Nishant
Good value card,State Bank of India Credit Card,"This is a good value card wherein I get 10 reward points for every spending of 100 INR on dining, movies and department stores.","Gautam
Posted on: Jul 28, 2019",Gautam
Groceries to shopping for clothes,State Bank of India Credit Card,"From groceries to shopping for clothes and essentials, I tend to save a lot with my SBI card.","Raghav
Posted on: Jul 28, 2019",Raghav
SBI card bill,State Bank of India Credit Card,Saved around 3000 on my SBI card bill since I redeemed my points and included in the bill.,"Sanjay
Posted on: Jul 28, 2019",Sanjay
Fine value benefit card,State Bank of India Credit Card,This is a fine value benefit card wherein I can use my reward points for statement credit.,"Mahi
Posted on: Jul 28, 2019",Mahi
First cash withdrawal,State Bank of India Credit Card,I made my first cash withdrawal maybe during the first 30 days of the receipt of this card and on that I got 100 INR cashback.,"Farida
Posted on: Jul 28, 2019",Farida
Low cost,State Bank of India Credit Card,This card is extremely low cost. I just had to pay 500 INR for it.,"Rachal
Posted on: Jul 28, 2019",Rachal
User of SBI,State Bank of India Credit Card,I am a user of SBI since past 3 years and being a loyal customer they gave me this card free for lifetime.,"Umang
Posted on: Jul 28, 2019",Umang
Cash loan,State Bank of India Credit Card,I got a cash loan on my SBI card with ease. It is a good advantage card.,"Kartik
Posted on: Jul 28, 2019",Kartik
SBI card,State Bank of India Credit Card,I am using my SBI card for getting a new car for myself. Paid the down payment and the balance has been transferred to the card as EMI.,"Sudhakar
Posted on: Jul 28, 2019",Sudhakar
I am happy,State Bank of India Credit Card,I am happy that I could get my card free for lifetime. Best!,"Amna
Posted on: Jul 28, 2019",Amna
Economical card,State Bank of India Credit Card,This is a very economical card that brings my way amazing deal of benefits.,"Eric
Posted on: Jul 28, 2019",Eric
Joining fee payable,State Bank of India Credit Card,The joining fee payable on my SBI card is just 499 INR. Low and decent!,"Jamna
Posted on: Jul 28, 2019",Jamna
SBI card,State Bank of India Credit Card,I spent INR 2000 with my SBI card and I got bonus points worth 2000.,"Sia
Posted on: Jul 28, 2019",Sia
Add on benefit,State Bank of India Credit Card,Used the add on benefit and got my sister the same card for free from SBI.,"Arti
Posted on: Jul 28, 2019",Arti
Cherishing every bit of benefits,State Bank of India Credit Card,I am cherishing every bit of benefits and statement credit that I get with the rewards.,"Chandni
Posted on: Jul 28, 2019",Chandni
Cannot complain,State Bank of India Credit Card,Cannot complain about the vast degree of benefits and rewards that this card from SBI has brought my way.,"Kamya
Posted on: Jul 28, 2019",Kamya
Movie and dining offers,State Bank of India Credit Card,Love how many movie and dining offers I am getting with my SBI card.,"Mukti
Posted on: Jul 28, 2019",Mukti
